message-id,vendor-category,vendor-group,vendor-severity
309,VPN,L2TP Server,info
311,VPN,L2TP Server,info
312,VPN,L2TP Server,info
318,VPN,L2TP Server,info
319,VPN,L2TP Server,info
321,3G/4G Modem and Module,PPP Dial-Up,info
322,3G/4G Modem and Module,PPP Dial-Up,info
326,Network,Fail Over and Load Balancing,alert
327,3G/4G Modem and Module,PPP Dial-Up,info
328,Users,Authentication Access,info
329,Users,Authentication Accesse,rror
330,3G/4G Modem and Module,PPP Dial-Up,info
331,3G/4G Modem and Module,PPP Dial-Up,info
335,VPN,L2TP Server,info
336,VPN,L2TP Server,info
337,VPN,L2TP Server,info
338,VPN,L2TP Server,info
339,Network,NAT,debug
340,System,Administration,info
341,System,Administration,info
344,VPN,L2TP Server,info
346,VPN,VPN IKE,info
347,Network,Network Access,warning
348,VPN,VPN IPsec,warning
350,VPN,VPN IKE,info
351,VPN,VPN IKE,info
352,VPN,VPN IKE,info
353,VPN,VPN IKE,info
354,VPN,VPN IKE,info
355,VPN,VPN IKE,info
356,VPN,VPN IKE,info
357,VPN,VPN IKE,info
358,VPN,VPN IKE,info
360,Security Services,Crypto Test,error
361,Security Services,Crypto Test,error
362,Security Services,Crypto Test,error
363,Security Services,Crypto Test,error
364,Security Services,Crypto Test,error
365,Security Services,Crypto Test,error
366,Security Services,Crypto Test,error
367,Security Services,Crypto Test,info
368,Security Services,Crypto Test,info
369,Security Services,Crypto Test,info
371,VPN,VPN Client,info
372,VPN,VPN IKE,info
373,VPN,VPN IKE,info
375,Network,PPTP,info
376,Network,PPTP,info
378,Network,PPTP,info
379,Network,PPTP,info
380,Network,PPTP,info
381,Network,PPTP,info
382,Network,PPTP,info
384,Network,PPTP,info
385,Network,PPTP,info
388,Network,PPTP,info
389,Network,PPTP,info
390,Network,PPTP,info
392,Network,PPTP,info
393,Network,PPTP,info
396,Network,PPTP,info
398,Network,PPTP,info
399,Network,PPTP,info
400,Network,PPTP,info
401,VPN,VPN IKE,warning
402,VPN,VPN IKE,warning
403,VPN,VPN IKE,info
404,VPN,VPN IKE,warning
405,VPN,VPN IKE,warning
406,VPN,VPN IKE,warning
408,Security Services,Anti-Virus,info
409,VPN,VPN IKE,info
410,VPN,VPN IKE,info
411,VPN,VPN IKE,info
412,VPN,VPN IKE,info
413,VPN,VPN IKE,info
414,VPN,VPN IKE,info
415,VPN,VPN IKE,info
416,VPN,VPN IKE,info
419,Network,RIP,info
420,Network,RIP,info
421,Network,RIP,info
422,Network,RIP,info
427,VPN,VPN IPsec,info
428,Firewall Settings,Advanced,warning
429,Network,PPTP,info
430,Network,PPTP,info
431,Network,PPTP,info
432,Network,PPTP,info
433,Network,PPTP,info
434,Network,PPTP,info
435,Network,PPTP,alert
436,Network,PPTP,alert
437,Security Services,E-mail Filtering,error
438,Users,Authentication Access,info
439,Users,Authentication Access,info
440,Firewall,Access Rules,info
441,Firewall,Access Rules,info
442,Firewall,Access Rules,info
444,Network,PPTP,info
445,VPN,VPN IKE,info
446,Firewall Settings,FTP,error
448,VPN,VPN PKI,error
449,VPN,VPN PKI,error
450,VPN,VPN PKI,error
451,VPN,VPN PKI,error
452,VPN,VPN PKI,error
453,VPN,VPN PKI,error
454,VPN,VPN PKI,error
455,VPN,VPN PKI,error
456,VPN,VPN PKI,error
457,VPN,VPN PKI,error
458,VPN,VPN PKI,error
459,VPN,VPN PKI,error
460,VPN,VPN PKI,error
461,VPN,VPN PKI,error
462,VPN,VPN PKI,error
463,VPN,VPN PKI,error
464,VPN,VPN PKI,error
465,VPN,VPN PKI,error
466,VPN,VPN PKI,error
467,VPN,VPN PKI,error
468,VPN,VPN PKI,error
469,VPN,VPN PKI,error
470,VPN,VPN PKI,error
473,VPN,DHCP Relay,info
474,VPN,DHCP Relay,info
476,VPN,DHCP Relay,info
477,VPN,DHCP Relay,info
481,3G/4G Modem and Module,PPP Dial-Up,info
482,Security Services,Anti-Virus,warning
483,VPN,VPN IPsec,warning
484,VPN,DHCP Relay,warning
486,Users,Authentication Access,info
488,Wireless,Wireless Access,warning
491,Security Services,E-mail Filtering,warning
492,Security Services,E-mail Filtering,warning
493,Network,Interfaces,info
494,VPN,VPN Client,info
496,Security Services,General,warning
502,Network,Interfaces,info
505,VPN,VPN Client,error
506,VPN,Authentication Access,info
507,VPN,Authentication Access,info
508,VPN,Authentication Access,info
509,VPN,Authentication Access,info
518,Wireless,WLAN,info
520,Users,Authentication Access,info
521,System,Status,info
522,Network,IP,info
523,Network,ICMP,notice
524,Network,Network Access,notice
526,Network,Network Access,notice
527,Firewall Settings,FTP,alert
528,Firewall Settings,FTP,alert
529,VPN,VPN Client,info
533,VPN,VPN IPsec,notice
534,VPN,VPN IPsec,notice
535,VPN,VPN IPsec,debug
537,Network,Network Access,info
538,Firewall Settings,FTP,alert
542,3G/4G Modem and Module,PPP Dial-Up,info
543,VPN,VPN IKE,info
544,VPN,VPN IKE,info
545,VPN,VPN IKE,info
546,Wireless,WLAN IDS,alert
548,Wireless,WLAN IDS,alert
549,Users,Authentication Access,info
550,Users,Authentication Access,info
551,Users,Authentication Access,info
557,Users,Authentication Access,info
558,Users,Authentication Access,info
559,Users,Authentication Access,info
560,Users,Authentication Access,info
561,Users,Authentication Access,info
562,Users,Authentication Access,info
564,Users,Authentication Access,info
565,Network,Interfaces,alert
566,Network,Interfaces,alert
567,Network,Interfaces,info
568,Network,Interfaces,info
569,Network,Interfaces,info
570,Network,Interfaces,info
573,System,Settings,warning
